State,Latitude,Longitude
CA,34.040539,-118.271387
CA,32.89947,-117.243
CA,34.221665,-118.468371
CA,33.909914,-117.459053
CA,34.14762,-118.147111
CA,34.145138,-118.152655
CA,34.145119,-118.150133
CA,33.7637,-118.192
CA,33.94325,-118.403342
CA,34.238716,-118.554686
CA,34.07122,-117.575
CA,34.228315,-119.170865
CA,33.824004,-116.543589
CA,34.0189,-117.38
CA,38.69005,-121.58889
CA,34.017081,-118.44704
CA,34.010021,-118.49583
CA,34.156407,-118.438965
CA,34.13722,-118.35835
CA,33.94756,-118.153806
CA,37.80619,-122.4152
CA,38.599693,-121.427045
CA,37.78881,-122.401
CA,37.791791,-122.411265
CA,34.248959,-118.523887
CA,34.241687,-118.528543
CA,34.236853,-118.532588
CA,33.740758,-118.28192
CA,34.077588,-118.474585
CA,34.145528,-118.050548
CA,34.13556,-117.864
CA,33.9826,-118.3966
CA,34.029971,-118.385231
CA,33.777054,-117.870566
CA,34.16657602,-119.0458547
CA,33.919899,-117.898618
CA,34.192178,-118.934793
CA,34.418322,-119.3368
CA,34.105275,-117.809208
CA,34.147709,-118.136621
CA,34.267352,-119.2124
CA,34.268756,-119.2154
CA,34.268,-119.2492
CA,38.539336,-121.732405
CA,38.66292,-121.2634
CA,38.57277,-121.467902
CA,38.7042,-121.365
CA,38.552483,-121.4487
CA,38.524403,-121.5112
CA,38.73323,-120.78962
CA,38.356027,-121.9628
CA,38.36557,-121.967
CA,38.35172,-121.987
CA,38.356907,-122.001886
CA,38.355867,-121.9862
CA,38.351758,-121.994475
CA,38.682605,-121.297614
CA,38.72799,-120.828
CA,38.6476,-121.067
CA,38.74453,-121.17
CA,38.618066,-121.334337
CA,38.15485,-121.69
CA,38.25281,-122.044229
CA,38.23723,-122.123
CA,33.944761,-118.399767
VT,44.469281,-73.154972
WA,47.044011,-122.822404
OR,45.508396,-122.664667
CA,39.15,-123.2091
CA,38.368755,-121.961192
CA,38.54643,-121.7388
CA,38.5443,-121.738
CA,38.544538,-121.749713
CA,38.55755,-121.6947
CA,38.569412,-121.721373
CA,33.84788,-118.13889
CA,37.94495,-122.5096
CA,37.7136,-122.2087
WA,47.443377,-122.296229
IL,40.119161,-88.244185
ID,43.608009,-116.197968
CA,38.2482,-122.0678
OR,44.928439,-124.015824
WI,43.083979,-89.363091
OR,44.586123,-123.115389
CA,35.249929,-120.689683
CA,35.25982,-120.676
WA,47.673347,-117.388933
WA,47.65579218,-117.4236637
IA,41.615759,-93.57875
IA,41.682385,-93.698315
OR,44.009797,-123.033213
TX,29.756604,-95.372854
SC,34.950136,-81.93279
SC,34.951926,-81.931714
SC,34.715982,-81.624616
CT,41.305794,-72.927405
CT,41.355486,-72.093784
CT,41.951328,-72.663078
WI,42.592469,-87.915847
WI,43.091229,-89.52884
OH,41.503373,-81.639054
WV,38.417603,-82.456866
MO,38.694036,-90.4218
OR,45.522609,-122.988535
OR,45.520533,-122.978089
OR,45.509326,-122.666392
UT,40.74686,-111.876
KS,38.92591,-94.72819
FL,26.465314,-80.07219
WA,47.545324,-122.0195
MA,42.349249,-71.041557
SC,34.00741493,-81.0348006
SC,34.003323,-81.035693
SC,34.008409,-81.041802
SC,34.002255,-81.040219
SC,34.84709,-82.387269
SC,34.849724,-82.400667
SC,34.849889,-82.397797
SC,34.852754,-82.393113
SC,33.997786,-81.036161
SC,34.852789,-82.396195
SC,34.85335,-82.394826
SC,34.852437,-82.399901
SC,34.925782,-81.028444
SC,34.954788,-81.013242
SC,34.716556,-81.648482
SC,34.77993955,-81.45735907
CA,34.019875,-118.49151
CA,37.806798,-122.419488
CA,34.010528,-118.4898
CO,39.843886,-104.771138
MA,42.372442,-71.122882
MI,42.962078,-85.659019
IL,40.507796,-88.982897
IL,40.511172,-88.984985
WA,47.761878,-122.191915
WA,47.679224,-122.12995
WA,47.672359,-122.099034
WA,47.734211,-122.147041
WI,43.011411,-89.459112
WI,43.096636,-89.500008
NC,35.778416,-78.64347
NC,35.77435,-78.642287
TX,30.20633,-97.75936
CA,39.1458,-123.198497
VA,36.910575,-80.31736
TN,36.010279,-84.268049
TN,35.558371,-86.448276
TX,32.408909,-99.771463
TX,35.159354,-101.938937
TX,32.676458,-97.087169
TX,30.374542,-97.731445
TX,29.807253,-94.97383365
TX,30.062535,-94.133511
TX,32.83907,-97.16206
TX,30.639201,-96.30671
TX,27.73082,-97.416019
TX,32.64609,-96.86376
TX,33.775328,-96.58308
TX,31.783928,-106.417267
TX,31.724024,-106.302211
TX,32.72158,-97.47838
TX,32.92823,-97.09447
TX,26.186259,-97.734663
TX,29.91328,-95.61141
TX,29.67646,-95.42258
TX,29.625565,-95.22531
TX,29.78628,-95.6005
TX,29.99016,-95.42236
TX,29.990275,-95.275606
TX,32.83590365,-96.934158
TX,29.775354,-95.817237
TX,31.078549,-97.692745
